Pattern,Size,supportT,supportN,GrowthRatio
"frozenset({'KIF11_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH'})",4,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'KIF4A_EH', 'ERCC6L_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'KIF4A_EH', 'CDC6_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1B_EH', 'TOP2A_EH', 'CDC6_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF4A_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF4A_EH', 'ERCC6L_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'KIF4A_EH', 'ERCC6L_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF4A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF4A_EH', 'KIF20A_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF4A_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'DEPDC1_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'ASPM_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'CENPF_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'CENPF_EH', 'AURKA_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DEPDC1_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'AURKA_EH', 'KIF20A_EH', 'CENPF_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'BUB1B_EH', 'CCNB1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'ERCC6L_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'ASPM_EH', 'KIF14_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'ASPM_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'ASPM_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'KIF14_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF14_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'DLGAP5_EH', 'BUB1B_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'DEPDC1_EH', 'BUB1B_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'ASPM_EH', 'KIF14_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'ASPM_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'KIF14_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'AURKA_EH', 'KIF20A_EH', 'TPX2_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'BUB1B_EH', 'DEPDC1_EH'})",3,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'CENPF_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'ERCC6L_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'TOP2A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'TOP2A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'SPAG5_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1B_EH', 'TOP2A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'TOP2A_EH', 'AURKA_EH'})",2,0.3684210526315789,0.0,inf
