"","items","support","count"
"158","{EVI5L.115704=EH,LOC100129034.100129034=EL,C8orf22.492307=M,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"159","{EVI5L.115704=EH,LOC100129034.100129034=EL,ACSM2A.123876=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"160","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,TM4SF5.9032=EL}",1,66
"161","{EVI5L.115704=EH,LOC100129034.100129034=EL,METTL7B.196410=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"162","{EVI5L.115704=EH,LOC100129034.100129034=EL,RDH5.5959=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"163","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC10A2.6555=EL}",1,66
"164","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,SLC16A9.220963=EL}",1,66
"165","{EVI5L.115704=EH,LOC100129034.100129034=EL,C8orf71.26138=EH,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"166","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,DPYS.1807=EL}",1,66
"167","{EVI5L.115704=EH,LOC100129034.100129034=EL,RNASE4.6038=EL,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"168","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,UGT1A8.54576=L}",1,66
"169","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,ANKS4B.257629=EL}",1,66
"170","{EVI5L.115704=EH,LOC100129034.100129034=EL,NTN1.9423=EH,GLYAT.10249=EL,SLC39A5.283375=EL}",1,66
"171","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,GBA3.57733=EL}",1,66
